year,month,day,hour,minute,count,date
2022,3,4,21,55,19,2022-03-04 21:55:00
2022,3,4,21,56,19,2022-03-04 21:56:00
2022,3,4,21,57,19,2022-03-04 21:57:00
2022,3,4,21,58,19,2022-03-04 21:58:00
2022,3,4,21,59,19,2022-03-04 21:59:00
2022,3,4,22,0,19,2022-03-04 22:00:00
2022,3,4,22,1,19,2022-03-04 22:01:00
2022,3,4,22,2,19,2022-03-04 22:02:00
2022,3,4,22,3,20,2022-03-04 22:03:00
2022,3,4,22,4,20,2022-03-04 22:04:00
2022,3,4,22,5,20,2022-03-04 22:05:00
2022,3,4,22,6,20,2022-03-04 22:06:00
2022,3,4,22,7,20,2022-03-04 22:07:00
2022,3,4,22,8,20,2022-03-04 22:08:00
2022,3,4,22,9,20,2022-03-04 22:09:00
2022,3,4,22,10,19,2022-03-04 22:10:00
2022,3,4,22,11,19,2022-03-04 22:11:00
2022,3,4,22,12,19,2022-03-04 22:12:00
2022,3,4,22,13,19,2022-03-04 22:13:00
2022,3,4,22,14,19,2022-03-04 22:14:00
2022,3,4,22,15,19,2022-03-04 22:15:00
2022,3,4,22,16,19,2022-03-04 22:16:00
2022,3,4,22,17,19,2022-03-04 22:17:00
2022,3,4,22,18,19,2022-03-04 22:18:00
2022,3,4,22,19,19,2022-03-04 22:19:00
2022,3,4,22,20,19,2022-03-04 22:20:00
2022,3,4,22,21,19,2022-03-04 22:21:00
2022,3,4,22,22,19,2022-03-04 22:22:00
2022,3,4,22,23,19,2022-03-04 22:23:00
2022,3,4,22,24,19,2022-03-04 22:24:00
2022,3,4,22,25,19,2022-03-04 22:25:00
2022,3,4,22,26,19,2022-03-04 22:26:00
2022,3,4,22,27,19,2022-03-04 22:27:00
2022,3,4,22,28,19,2022-03-04 22:28:00
2022,3,4,22,29,19,2022-03-04 22:29:00
2022,3,4,22,30,19,2022-03-04 22:30:00
2022,3,4,22,31,19,2022-03-04 22:31:00
2022,3,4,22,32,19,2022-03-04 22:32:00
2022,3,4,22,33,19,2022-03-04 22:33:00
2022,3,4,22,34,19,2022-03-04 22:34:00
2022,3,4,22,35,19,2022-03-04 22:35:00
2022,3,4,22,36,19,2022-03-04 22:36:00
2022,3,4,22,37,19,2022-03-04 22:37:00
2022,3,4,22,38,20,2022-03-04 22:38:00
2022,3,4,22,39,20,2022-03-04 22:39:00
2022,3,4,22,40,20,2022-03-04 22:40:00
2022,3,4,22,41,20,2022-03-04 22:41:00
2022,3,4,22,42,20,2022-03-04 22:42:00
2022,3,4,22,43,20,2022-03-04 22:43:00
2022,3,4,22,44,20,2022-03-04 22:44:00
2022,3,4,22,45,20,2022-03-04 22:45:00
2022,3,4,22,46,20,2022-03-04 22:46:00
2022,3,4,22,47,20,2022-03-04 22:47:00
2022,3,4,22,48,20,2022-03-04 22:48:00
2022,3,4,22,49,20,2022-03-04 22:49:00
2022,3,4,22,50,19,2022-03-04 22:50:00
2022,3,4,22,51,19,2022-03-04 22:51:00
2022,3,4,22,52,19,2022-03-04 22:52:00
2022,3,4,22,53,19,2022-03-04 22:53:00
2022,3,4,22,54,19,2022-03-04 22:54:00
2022,3,4,22,55,19,2022-03-04 22:55:00
2022,3,4,22,56,19,2022-03-04 22:56:00
2022,3,4,22,57,19,2022-03-04 22:57:00
2022,3,4,22,58,19,2022-03-04 22:58:00
2022,3,4,22,59,19,2022-03-04 22:59:00
2022,3,4,23,0,19,2022-03-04 23:00:00
2022,3,4,23,1,19,2022-03-04 23:01:00
2022,3,4,23,2,19,2022-03-04 23:02:00
2022,3,4,23,3,19,2022-03-04 23:03:00
2022,3,4,23,4,19,2022-03-04 23:04:00
2022,3,4,23,5,19,2022-03-04 23:05:00
2022,3,4,23,6,19,2022-03-04 23:06:00
2022,3,4,23,7,19,2022-03-04 23:07:00
2022,3,4,23,8,19,2022-03-04 23:08:00
2022,3,4,23,9,19,2022-03-04 23:09:00
2022,3,4,23,10,19,2022-03-04 23:10:00
2022,3,4,23,11,19,2022-03-04 23:11:00
2022,3,4,23,12,20,2022-03-04 23:12:00
2022,3,4,23,13,20,2022-03-04 23:13:00
2022,3,4,23,14,20,2022-03-04 23:14:00
2022,3,4,23,15,20,2022-03-04 23:15:00
2022,3,4,23,16,20,2022-03-04 23:16:00
2022,3,4,23,17,20,2022-03-04 23:17:00
2022,3,4,23,18,20,2022-03-04 23:18:00
2022,3,4,23,19,20,2022-03-04 23:19:00
2022,3,4,23,20,19,2022-03-04 23:20:00
2022,3,4,23,21,19,2022-03-04 23:21:00
2022,3,4,23,22,19,2022-03-04 23:22:00
2022,3,4,23,23,19,2022-03-04 23:23:00
2022,3,4,23,24,19,2022-03-04 23:24:00
2022,3,4,23,25,19,2022-03-04 23:25:00
2022,3,4,23,26,19,2022-03-04 23:26:00
2022,3,4,23,27,19,2022-03-04 23:27:00
2022,3,4,23,28,19,2022-03-04 23:28:00
2022,3,4,23,29,19,2022-03-04 23:29:00
2022,3,4,23,30,19,2022-03-04 23:30:00
2022,3,4,23,31,19,2022-03-04 23:31:00
2022,3,4,23,32,19,2022-03-04 23:32:00
2022,3,4,23,33,19,2022-03-04 23:33:00
2022,3,4,23,34,19,2022-03-04 23:34:00
2022,3,4,23,35,19,2022-03-04 23:35:00
2022,3,4,23,36,19,2022-03-04 23:36:00
2022,3,4,23,37,19,2022-03-04 23:37:00
2022,3,4,23,38,19,2022-03-04 23:38:00
2022,3,4,23,39,19,2022-03-04 23:39:00
2022,3,4,23,40,19,2022-03-04 23:40:00
2022,3,4,23,41,19,2022-03-04 23:41:00
2022,3,4,23,42,19,2022-03-04 23:42:00
2022,3,4,23,43,19,2022-03-04 23:43:00
2022,3,4,23,44,19,2022-03-04 23:44:00
2022,3,4,23,45,19,2022-03-04 23:45:00
2022,3,4,23,46,20,2022-03-04 23:46:00
2022,3,4,23,47,20,2022-03-04 23:47:00
2022,3,4,23,48,20,2022-03-04 23:48:00
2022,3,4,23,49,20,2022-03-04 23:49:00
2022,3,4,23,50,20,2022-03-04 23:50:00
2022,3,4,23,51,20,2022-03-04 23:51:00
2022,3,4,23,52,20,2022-03-04 23:52:00
2022,3,4,23,53,20,2022-03-04 23:53:00
2022,3,4,23,54,20,2022-03-04 23:54:00
2022,3,4,23,55,20,2022-03-04 23:55:00
2022,3,4,23,56,20,2022-03-04 23:56:00
2022,3,4,23,57,20,2022-03-04 23:57:00
2022,3,4,23,58,20,2022-03-04 23:58:00
2022,3,4,23,59,20,2022-03-04 23:59:00
2022,3,5,0,0,19,2022-03-05 00:00:00
2022,3,5,0,1,19,2022-03-05 00:01:00
2022,3,5,0,2,19,2022-03-05 00:02:00
2022,3,5,0,3,19,2022-03-05 00:03:00
2022,3,5,0,4,19,2022-03-05 00:04:00
2022,3,5,0,5,19,2022-03-05 00:05:00
2022,3,5,0,6,19,2022-03-05 00:06:00
2022,3,5,0,7,19,2022-03-05 00:07:00
2022,3,5,0,8,19,2022-03-05 00:08:00
2022,3,5,0,9,19,2022-03-05 00:09:00
2022,3,5,0,10,19,2022-03-05 00:10:00
2022,3,5,0,11,19,2022-03-05 00:11:00
2022,3,5,0,12,19,2022-03-05 00:12:00
2022,3,5,0,13,19,2022-03-05 00:13:00
2022,3,5,0,14,19,2022-03-05 00:14:00
2022,3,5,0,15,19,2022-03-05 00:15:00
2022,3,5,0,16,19,2022-03-05 00:16:00
2022,3,5,0,17,19,2022-03-05 00:17:00
2022,3,5,0,18,19,2022-03-05 00:18:00
2022,3,5,0,19,19,2022-03-05 00:19:00
2022,3,5,0,20,20,2022-03-05 00:20:00
2022,3,5,0,21,20,2022-03-05 00:21:00
2022,3,5,0,22,20,2022-03-05 00:22:00
2022,3,5,0,23,20,2022-03-05 00:23:00
2022,3,5,0,24,20,2022-03-05 00:24:00
2022,3,5,0,25,20,2022-03-05 00:25:00
2022,3,5,0,26,20,2022-03-05 00:26:00
2022,3,5,0,27,20,2022-03-05 00:27:00
2022,3,5,0,28,20,2022-03-05 00:28:00
2022,3,5,0,29,20,2022-03-05 00:29:00
2022,3,5,0,30,19,2022-03-05 00:30:00
2022,3,5,0,31,19,2022-03-05 00:31:00
2022,3,5,0,32,19,2022-03-05 00:32:00
2022,3,5,0,33,19,2022-03-05 00:33:00
2022,3,5,0,34,19,2022-03-05 00:34:00
2022,3,5,0,35,19,2022-03-05 00:35:00
2022,3,5,0,36,19,2022-03-05 00:36:00
2022,3,5,0,37,19,2022-03-05 00:37:00
2022,3,5,0,38,19,2022-03-05 00:38:00
2022,3,5,0,39,19,2022-03-05 00:39:00
2022,3,5,0,40,19,2022-03-05 00:40:00
2022,3,5,0,41,19,2022-03-05 00:41:00
2022,3,5,0,42,19,2022-03-05 00:42:00
2022,3,5,0,43,19,2022-03-05 00:43:00
2022,3,5,0,44,19,2022-03-05 00:44:00
2022,3,5,0,45,19,2022-03-05 00:45:00
2022,3,5,0,46,19,2022-03-05 00:46:00
2022,3,5,0,47,19,2022-03-05 00:47:00
2022,3,5,0,48,19,2022-03-05 00:48:00
2022,3,5,0,49,19,2022-03-05 00:49:00
2022,3,5,0,50,19,2022-03-05 00:50:00
2022,3,5,0,51,19,2022-03-05 00:51:00
2022,3,5,0,52,19,2022-03-05 00:52:00
2022,3,5,0,53,19,2022-03-05 00:53:00
2022,3,5,0,54,20,2022-03-05 00:54:00
2022,3,5,0,55,20,2022-03-05 00:55:00
2022,3,5,0,56,20,2022-03-05 00:56:00
2022,3,5,0,57,20,2022-03-05 00:57:00
2022,3,5,0,58,20,2022-03-05 00:58:00
2022,3,5,0,59,20,2022-03-05 00:59:00
2022,3,5,1,0,19,2022-03-05 01:00:00
2022,3,5,1,1,19,2022-03-05 01:01:00
2022,3,5,1,2,19,2022-03-05 01:02:00
2022,3,5,1,3,19,2022-03-05 01:03:00
2022,3,5,1,4,19,2022-03-05 01:04:00
2022,3,5,1,5,19,2022-03-05 01:05:00
2022,3,5,1,6,19,2022-03-05 01:06:00
2022,3,5,1,7,19,2022-03-05 01:07:00
2022,3,5,1,8,19,2022-03-05 01:08:00
2022,3,5,1,9,19,2022-03-05 01:09:00
2022,3,5,1,10,19,2022-03-05 01:10:00
2022,3,5,1,11,19,2022-03-05 01:11:00
2022,3,5,1,12,19,2022-03-05 01:12:00
2022,3,5,1,13,19,2022-03-05 01:13:00
2022,3,5,1,14,19,2022-03-05 01:14:00
2022,3,5,1,15,19,2022-03-05 01:15:00
2022,3,5,1,16,19,2022-03-05 01:16:00
2022,3,5,1,17,19,2022-03-05 01:17:00
2022,3,5,1,18,19,2022-03-05 01:18:00
2022,3,5,1,19,19,2022-03-05 01:19:00
2022,3,5,1,20,19,2022-03-05 01:20:00
2022,3,5,1,21,19,2022-03-05 01:21:00
2022,3,5,1,22,19,2022-03-05 01:22:00
2022,3,5,1,23,19,2022-03-05 01:23:00
2022,3,5,1,24,19,2022-03-05 01:24:00
2022,3,5,1,25,19,2022-03-05 01:25:00
2022,3,5,1,26,19,2022-03-05 01:26:00
2022,3,5,1,27,19,2022-03-05 01:27:00
2022,3,5,1,28,20,2022-03-05 01:28:00
2022,3,5,1,29,20,2022-03-05 01:29:00
2022,3,5,1,30,20,2022-03-05 01:30:00
2022,3,5,1,31,20,2022-03-05 01:31:00
2022,3,5,1,32,20,2022-03-05 01:32:00
2022,3,5,1,33,20,2022-03-05 01:33:00
2022,3,5,1,34,20,2022-03-05 01:34:00
2022,3,5,1,35,20,2022-03-05 01:35:00
2022,3,5,1,36,20,2022-03-05 01:36:00
2022,3,5,1,37,20,2022-03-05 01:37:00
2022,3,5,1,38,20,2022-03-05 01:38:00
2022,3,5,1,39,20,2022-03-05 01:39:00
2022,3,5,1,40,19,2022-03-05 01:40:00
2022,3,5,1,41,19,2022-03-05 01:41:00
2022,3,5,1,42,19,2022-03-05 01:42:00
